1	says good morning  http://plurk.com/p/xhvfo
0	@georgesampson the show was amazing at glasgow but would have been SOO much better if you could have made it 
0	the downside of getting TDL 3 days early is that i won't have time to read it til next week anyway!  but still, hurrah *clutches it close*
0	@EricaJo42 yeah but there are like 5,000 types of snakes..and it's wicked wicked wicked hot...and idk. i don't think i'd like it 
1	@tokaino well did you try? haha 
0	@lindslou10  Yeah I'm special sometimes. AND I agree, it is way to early to be up on a Saturday morning.  
1	Just bought a #marknewson Dish Doctor. YUM!!  I went for the orange and green one; it'll match my kitchen nicely 
0	@deadlyhouses YAY! When are you coming back? I want to watch more Chuck tonight. 
0	http://twitpic.com/7ijof - Progress - barely any 
0	#terminator the sarah connor chronicles has been officially cancelled now. 
0	And so it is.... Leaving home on a holiday, again 
0	bored today 
0	@thebraysmommy  I got rid of mine tonight so sad
0	First mom's day without my mom... 
0	i'll miss my parents and my friends 
0	Discovered that the scary banging noise upstairs was caused by my housemate leaving her window open. Still no one around. 
0	Mourning the loss of my favorite theater  ... http://cli.gs/ere7MA
1	Calm down..and smile 
1	is going to spend the day with the in laws 
1	@SuperSEOGirl - LOL, holiday pre-party, downtown San Antonio loft in my rewearable vera wang bridesmaid dress 
0	Apparently you can twitter and FB from work!! No gmail or gtalk.  Reminds me of the Bill Murray movie &quot;What About Bob? &quot; ... &quot;baby steps&quot;
1	Happy  Just got another scholarship and hoping for more.
0	It looks like page views are not registering on my blog    Please help by looking at it for me: http://saturdaysails.blogspot.com  THX!
1	@wildarmsheero Now what's better than a quiet ojousama anyway? Except a tsundere ojousama, that is 
1	#LT Check out my Interview on South Beach Bride Mag/Summer Edition due out this week 
0	Aparently Hi Hat's food does something aweful to my digestive system. I have the most rancid farts right now 
0	@Oroborus1057 Sorry to hear that 
1	Oh grr. I cant find it. Anyone recall who's kid wanted to take an apple to a doctor's appointment to keep the doctor away? 
1	@FOOLYWANG I hope so too.  How are you?
1	@Lucyvonne11 can i be your girlfriend 
1	@vintagegoodness thank you much. 
0	@Jiggywiddit Awww, Sorry Jiggy! I am sure something better will come up! 
0	The ASPCA always makes me feel like such a bad person for not being able to afford a monthly &quot;gift&quot;. Their commercials always make me sad 
0	@lizook12 the link you gave points only to 4 stories, none of them with your name... 
0	trying to give a dog medicine is a work-out 
1	@flourishes Sounds like a good way to wake up!    Welcome home mama!
1	@vanessatx OMGGGGG you so do! I know where Anderson worksss outttt (I walk by there obsessively) I should so take you around!  haha
0	@tink69 Awwwww, I sure wish you were in CA too!  When will you be back? You always randomly disappear to Chicago!? lol
0	Why why why WHY!   http://twitpic.com/7p10u
1	Alhamdulillah already 441fans need to get 559 to go.. become a fan now..  http://bit.ly/JwryB
0	@remembermeninab yooo I missed it  I've been working on set the past few days..
0	@Virtchewus1 are you at work already? I'm afraid to show!! The water connectivity AHHH!! 
1	@mward6489 @jamiegoil @MissKibbles g'nite my precious faeries  love u allll
0	At least the @spotify adverts provide some momentary respite from The JCB song... 
1	libertines reunion  i need a haircut, its gone too curly
1	Heading out for ? Shopping in the rain; Just shopping in the rain; What a glorious feeling; Buying a TV again... ? 
0	NOOOOOOOO...It's happening all over again 
1	is watching 'Two Weeks Notice'  How cool am I!?!
0	I really don't feel good  this suck's...
1	is trying to workout this tweetdeck software....looks  good....once i can learn how to use it properly!!! lol 
1	So many #asylum posts, really need to catch up haha. Hope every at #asylum is having a great time! 
0	Suffering Rum and Beach withdrawal  Why does work suck so bad this week???
1	@Sherksgirl THANKS! 
0	@AaronStrout not really another tatoo 
0	gonna miss mom til wednesday! 
0	@sherod I want to go 3 times.   Books are quite different.
